
Pulse: 62, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.274162800
Pulse: 62, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.277153
Pulse: 60, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.278152600
Pulse: 60, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.280146600
Pulse: 60, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.281143100
Pulse: 59, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.282142300
Pulse: 58, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.283138800
Pulse: 59, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.284136600
Pulse: 59, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.285133100
Pulse: 57, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.287125900
Pulse: 55, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.288126100
Pulse: 58, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.289124800
Pulse: 60, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.290120500
Pulse: 61, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.290120500
Pulse: 62, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.292113100
Pulse: 62, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.293111900
Pulse: 60, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.295105700
Pulse: 60, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.297099200
Pulse: 61, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.298098900
Pulse: 63, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.299095700
Pulse: 62, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.300093
Pulse: 61, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.302088300
Pulse: 59, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.303086100
Pulse: 59, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.304080700
Pulse: 57, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.306078100
Pulse: 58, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:48.307075900
Pulse: 59, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:48.309067500
Pulse: 61, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:49.092746600
Pulse: 62, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:50.102061800
Pulse: 60, Saturation: 100, Date: 2021-06-23, Time: 2021-06-23T12:38:51.105995300
Pulse: 59, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T12:38:52.109912800
