
Pulse: 66, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.828447100
Pulse: 64, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.829444300
Pulse: 64, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.830441600
Pulse: 65, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.831439200
Pulse: 64, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.832013300
Pulse: 63, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.832714500
Pulse: 65, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.832714500
Pulse: 63, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.833713700
Pulse: 65, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.834710800
Pulse: 67, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.835709600
Pulse: 66, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.835709600
Pulse: 68, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.836724100
Pulse: 66, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.836724100
Pulse: 66, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.837704500
Pulse: 64, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.838725600
Pulse: 63, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.839698600
Pulse: 62, Saturation: 99, Date: 2021-06-24, Time: 2021-06-24T22:34:11.839698600
Pulse: 60, Saturation: 98, Date: 2021-06-24, Time: 2021-06-24T22:34:11.840695800
Pulse: 62, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.841692300
Pulse: 62, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.841692300
Pulse: 62, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.842695
Pulse: 63, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.842695
Pulse: 62, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.843686900
Pulse: 63, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.844273100
Pulse: 63, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.844273100
Pulse: 65, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.845272200
Pulse: 64, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.846269900
Pulse: 64, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.846269900
Pulse: 62, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.848264700
Pulse: 62, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.848264700
Pulse: 60, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.849261400
Pulse: 60, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.849261400
Pulse: 59, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.850258800
Pulse: 59, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.850258800
Pulse: 59, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.851256600
Pulse: 59, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.851256600
Pulse: 60, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.852253600
Pulse: 59, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.852253600
Pulse: 57, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.853251100
Pulse: 58, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.854248400
Pulse: 56, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.854248400
Pulse: 56, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.855245600
Pulse: 57, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.856242800
Pulse: 59, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.856242800
Pulse: 57, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.857242900
Pulse: 56, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.857242900
Pulse: 54, Saturation: 96, Date: 2021-06-24, Time: 2021-06-24T22:34:11.858238700
Pulse: 55, Saturation: 97, Date: 2021-06-24, Time: 2021-06-24T22:34:11.859235
