
Pulse: 66, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T16:31:49.057087600
Pulse: 68, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T16:31:49.058083500
Pulse: 69, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T16:31:49.070051400
Pulse: 69, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T16:31:49.079030600
Pulse: 68, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T16:31:49.085010100
Pulse: 70, Saturation: 99, Date: 2021-06-23, Time: 2021-06-23T16:31:49.091992700
Pulse: 71, Saturation: 98, Date: 2021-06-23, Time: 2021-06-23T16:31:49.101965
Pulse: 70, Saturation: 98, Date: 2021-06-23, Time: 2021-06-23T16:31:49.111938600
Pulse: 68, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.121913200
Pulse: 67, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.129890800
Pulse: 68, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.144946100
Pulse: 66, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.150934300
Pulse: 67, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.157915
Pulse: 67, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.163898600
Pulse: 67, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.170880300
Pulse: 69, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.178859200
Pulse: 69, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.185843200
Pulse: 69, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.193819600
Pulse: 69, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.199804600
Pulse: 68, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.207782100
Pulse: 67, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.213768100
Pulse: 67, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.220747600
Pulse: 68, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.228177100
Pulse: 70, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.239151600
Pulse: 72, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.247131200
Pulse: 71, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.258101100
Pulse: 72, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.265082200
Pulse: 72, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.273060500
Pulse: 72, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.280043
Pulse: 74, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.288050700
Pulse: 76, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.294006600
Pulse: 77, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.300985600
Pulse: 72, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.307966900
Pulse: 74, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.315946800
Pulse: 75, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.322926700
Pulse: 75, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.329909200
Pulse: 77, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.336894400
Pulse: 75, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.344873500
Pulse: 74, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.352851800
Pulse: 75, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.359834100
Pulse: 76, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.366816300
Pulse: 74, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.372799600
Pulse: 74, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.382773
Pulse: 75, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.389753300
Pulse: 73, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.397732700
Pulse: 73, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.404713700
Pulse: 71, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.411696
Pulse: 69, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.418676400
Pulse: 71, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.428650700
Pulse: 71, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.435631100
Pulse: 70, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.445603300
Pulse: 71, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.452586200
Pulse: 73, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.460567300
Pulse: 75, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.468543400
Pulse: 76, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.478515800
Pulse: 76, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.485497500
Pulse: 74, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.491481700
Pulse: 75, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.498464
Pulse: 76, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.507438300
Pulse: 74, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.514419800
Pulse: 72, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.521401700
Pulse: 70, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.527385200
Pulse: 72, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.533937600
Pulse: 71, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.540918200
Pulse: 71, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.547902
Pulse: 73, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.555879100
Pulse: 74, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.561862700
Pulse: 76, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.570838800
Pulse: 77, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.577821900
Pulse: 76, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.584803200
Pulse: 74, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.592781200
Pulse: 73, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.600758800
Pulse: 71, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.610733
Pulse: 72, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.617713300
Pulse: 72, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.624694200
Pulse: 70, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.632673200
Pulse: 68, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.641648500
Pulse: 70, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.650626100
Pulse: 71, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.658604500
Pulse: 70, Saturation: 97, Date: 2021-06-23, Time: 2021-06-23T16:31:49.667581800
Pulse: 68, Saturation: 96, Date: 2021-06-23, Time: 2021-06-23T16:31:49.674560900
